PRIM_STATE,mean_annual_salary
WA,*
TN,"79,280"
WI,"66,730"
LA,"69,880"
IN,"72,040"
PA,"75,480"
MI,"67,610"
NV,"76,310"
KY,"81,010"
NE,"90,240"
AR,"77,610"
CA,"102,880"
KY,"75,270"
WI,"89,140"
TX,"77,340"
TN,"82,440"
FL,"61,140"
WI,"86,420"
MN,"89,640"
AL,"79,200"
CA,"73,270"
WV,"78,860"
FL,"62,100"
TN,"74,100"
LA,"73,880"
NY,"113,030"
FL,"55,780"
UT,"82,780"
OK,"64,450"
WA,"86,540"
NE,"80,110"
FL,"59,250"
CA,"105,800"
FL,"70,000"
FL,"63,850"
FL,"68,390"
PA,"98,620"
AZ,"91,730"
PA,"75,280"
OR,"93,280"
FL,"59,010"
UT,"107,190"
NC,"93,800"
SD,"63,960"
CA,"82,290"
NV,"61,780"
VA,"74,980"
CA,"87,780"
NY,"95,610"
CA,"92,390"
MO,"80,390"
MO,"66,850"
UT,"88,280"
TX,"79,210"
CA,"106,550"
CA,"127,410"
CA,"137,580"
PR,"64,590"
CA,"88,530"
CA,"98,050"
CA,"106,700"
CA,"105,690"
GA,"86,130"
WA,"96,760"
WA,"80,330"
MO,"65,510"
CA,"98,470"
FL,"49,990"
FL,"64,320"
NJ,"84,180"
AZ,*
OK,"69,280"
HI,"89,170"
CA,"89,440"
VA,"81,760"
DC,"114,900"
AZ,"65,210"
MA,"87,890"
MA,"111,450"
CT,"120,530"
CT,"102,020"
CT,"103,460"
RI,"92,450"
MA,"74,470"
MA,"108,820"
CA,"61,590"
CA,"64,590"
CO,"74,160"
CO,"74,580"
FL,"66,010"
FL,"56,530"
GA,"66,730"
GA,"67,940"
GA,"62,930"
GA,"68,370"
IL,"77,070"
IL,"76,560"
IL,"60,260"
IN,"82,190"
IA,"69,320"
KS,"43,470"
KY,"45,730"
LA,"55,890"
LA,"67,070"
LA,"46,540"
ME,"67,130"
ME,"73,930"
MI,"61,160"
MI,"58,980"
MI,"63,360"
MN,"61,330"
MO,"55,020"
MO,"54,340"
MO,"54,700"
MT,"75,630"
NH,"69,160"
NH,"85,550"
NM,"48,910"
NC,"67,420"
NC,"52,380"
OH,"74,240"
OH,"67,340"
OK,"59,020"
PA,"68,000"
PA,"70,970"
PA,"72,090"
TN,"82,920"
TN,"72,620"
TN,"68,130"
TX,"53,770"
TX,"55,030"
TX,"50,600"
TX,"62,700"
TX,"56,060"
TX,"67,790"
VA,"106,660"
WA,"75,480"
WA,"58,560"
WV,"64,550"
WI,"55,430"
WI,"60,000"
WI,"69,120"
FL,"47,560"
GA,"78,830"
GA,"55,720"
GA,"53,220"
IN,"79,880"
IN,"94,730"
KY,"64,330"
KY,"70,850"
ME,"87,430"
MD,"74,380"
MI,"70,200"
MN,"70,850"
MN,"80,530"
MO,"86,130"
NH,"85,160"
NC,*
OH,"90,240"
OH,"91,710"
OR,"74,810"
TX,"91,800"
TX,"75,570"
TX,"88,790"
VT,"78,570"
WI,"75,660"
WI,"76,820"
WI,"72,380"
