"","NAICS_TITLE","A_MEAN","category"
"312","Medical Equipment and Supplies Manufacturing","101,970","Manufacturing and Construction"
"313","Medical Equipment and Supplies Manufacturing","146,100","Manufacturing and Construction"
"314","Medical Equipment and Supplies Manufacturing","113,740","Manufacturing and Construction"
"315","Medical Equipment and Supplies Manufacturing","113,740","Manufacturing and Construction"
"316","Medical Equipment and Supplies Manufacturing","100,780","Manufacturing and Construction"
"317","Other Miscellaneous Manufacturing","78,460","Manufacturing and Construction"
"318","Other Miscellaneous Manufacturing","91,570","Manufacturing and Construction"
"319","Other Miscellaneous Manufacturing","91,570","Manufacturing and Construction"
"320","Merchant Wholesalers, Durable Goods","95,180","Retail and Wholesale Trade"
"321","Merchant Wholesalers, Durable Goods","90,700","Retail and Wholesale Trade"
"322","Merchant Wholesalers, Durable Goods","96,300","Retail and Wholesale Trade"
"323","Merchant Wholesalers, Durable Goods","112,790","Retail and Wholesale Trade"
"324","Merchant Wholesalers, Durable Goods","112,790","Retail and Wholesale Trade"
"325","Merchant Wholesalers, Durable Goods","115,060","Retail and Wholesale Trade"
"326","Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers","143,940","Retail and Wholesale Trade"
"327","Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers","66,430","Retail and Wholesale Trade"
"328","Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers","110,860","Retail and Wholesale Trade"
"329","Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers","110,860","Retail and Wholesale Trade"
"330","Professional and Commercial Equipment and Supplies Merchant Wholesalers","80,720","Retail and Wholesale Trade"
"331","Professional and Commercial Equipment and Supplies Merchant Wholesalers","81,540","Retail and Wholesale Trade"
"332","Professional and Commercial Equipment and Supplies Merchant Wholesalers","89,170","Retail and Wholesale Trade"
"333","Professional and Commercial Equipment and Supplies Merchant Wholesalers","122,130","Retail and Wholesale Trade"
"334","Professional and Commercial Equipment and Supplies Merchant Wholesalers","122,130","Retail and Wholesale Trade"
"335","Professional and Commercial Equipment and Supplies Merchant Wholesalers","115,060","Retail and Wholesale Trade"
"336","Machinery, Equipment, and Supplies Merchant Wholesalers","90,250","Retail and Wholesale Trade"
"337","Machinery, Equipment, and Supplies Merchant Wholesalers","88,090","Retail and Wholesale Trade"
"338","Machinery, Equipment, and Supplies Merchant Wholesalers","88,090","Retail and Wholesale Trade"
"339","Farm and Garden Machinery and Equipment Merchant Wholesalers","103,690","Retail and Wholesale Trade"
"340","Farm and Garden Machinery and Equipment Merchant Wholesalers","103,690","Retail and Wholesale Trade"
