NAICS_TITLE,A_MEAN
Other Miscellaneous Retailers,"108,780"
Air Transportation,"81,290"
Air Transportation,"98,780"
Air Transportation,"98,780"
Scheduled Air Transportation,"84,210"
Scheduled Air Transportation,"105,330"
Scheduled Air Transportation,"105,330"
Water Transportation,"101,400"
Water Transportation,"129,300"
Water Transportation,"129,300"
"Deep Sea, Coastal, and Great Lakes Water Transportation","101,300"
"Deep Sea, Coastal, and Great Lakes Water Transportation","129,300"
"Deep Sea, Coastal, and Great Lakes Water Transportation","129,300"
Truck Transportation,"89,790"
Truck Transportation,"61,050"
Truck Transportation,"78,770"
Truck Transportation,"78,770"
Truck Transportation,"89,790"
Truck Transportation,"61,050"
Truck Transportation,"78,770"
Truck Transportation,"78,770"
Pipeline Transportation,"85,440"
Pipeline Transportation,"85,440"
Pipeline Transportation of Natural Gas,"85,440"
Pipeline Transportation of Natural Gas,"85,440"
Support Activities for Transportation,"79,340"
Support Activities for Transportation,"88,420"
Support Activities for Transportation,"101,560"
Support Activities for Transportation,"101,560"
Support Activities for Air Transportation,"81,070"
Support Activities for Air Transportation,"108,520"
Support Activities for Air Transportation,"91,670"
Support Activities for Air Transportation,"91,670"
Freight Transportation Arrangement,"79,470"
Freight Transportation Arrangement,"77,750"
Freight Transportation Arrangement,"108,720"
Freight Transportation Arrangement,"108,720"
Postal Service (federal government),"104,310"
Postal Service (federal government),"100,000"
Postal Service (federal government),"89,390"
Postal Service (federal government),"104,310"
Postal Service (federal government),"100,000"
Postal Service (federal government),"89,390"
Couriers and Messengers,"89,430"
Couriers and Messengers,"162,270"
Couriers and Messengers,"162,270"
Couriers and Express Delivery Services,"89,690"
Couriers and Express Delivery Services,"131,870"
Couriers and Express Delivery Services,"131,870"
Local Messengers and Local Delivery,*
Local Messengers and Local Delivery,*
Warehousing and Storage,"74,500"
Warehousing and Storage,"97,930"
Warehousing and Storage,"75,610"
Warehousing and Storage,"71,340"
Warehousing and Storage,"71,340"
Warehousing and Storage,"74,500"
Warehousing and Storage,"97,930"
Warehousing and Storage,"75,610"
Warehousing and Storage,"71,340"
Warehousing and Storage,"71,340"
Motion Picture and Sound Recording Industries,"76,960"
Motion Picture and Sound Recording Industries,"114,520"
Motion Picture and Sound Recording Industries,"114,520"
Motion Picture and Video Industries,"117,150"
Motion Picture and Video Industries,"117,150"
Sound Recording Industries,"88,510"
Sound Recording Industries,"88,510"
Publishing Industries,"75,260"
Publishing Industries,"94,020"
Publishing Industries,"120,830"
Publishing Industries,"128,870"
Publishing Industries,"128,870"
"Newspaper, Periodical, Book, and Directory Publishers","62,120"
"Newspaper, Periodical, Book, and Directory Publishers","74,410"
"Newspaper, Periodical, Book, and Directory Publishers","74,910"
"Newspaper, Periodical, Book, and Directory Publishers","109,780"
"Newspaper, Periodical, Book, and Directory Publishers","109,780"
Newspaper Publishers,*
Newspaper Publishers,*
Software Publishers,"81,300"
Software Publishers,"101,330"
Software Publishers,"131,840"
Software Publishers,"131,840"
Broadcasting and Content Providers,"57,900"
Broadcasting and Content Providers,"97,610"
Broadcasting and Content Providers,"130,640"
Broadcasting and Content Providers,"130,640"
Radio and Television Broadcasting Stations,"105,920"
Radio and Television Broadcasting Stations,"96,230"
Radio and Television Broadcasting Stations,"96,230"
Television Broadcasting Stations,"105,920"
Television Broadcasting Stations,"102,730"
Television Broadcasting Stations,"102,730"
"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","58,330"
"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","95,990"
"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","132,740"
"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers","132,740"
Telecommunications,*
Telecommunications,"109,300"
Telecommunications,"119,170"
Telecommunications,"119,170"
Telecommunications,*
Telecommunications,"109,300"
Telecommunications,"119,170"
Telecommunications,"119,170"
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","72,850"
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","99,770"
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","112,090"
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","120,100"
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","120,100"
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","72,850"
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","99,770"
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","112,090"
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","120,100"
"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","120,100"
"Web Search Portals, Libraries, Archives, and Other Information Services","119,070"
"Web Search Portals, Libraries, Archives, and Other Information Services",*
"Web Search Portals, Libraries, Archives, and Other Information Services",*
"Web Search Portals, Libraries, Archives, and Other Information Services","119,070"
"Web Search Portals, Libraries, Archives, and Other Information Services",*
"Web Search Portals, Libraries, Archives, and Other Information Services",*
Monetary Authorities-Central Bank,"58,740"
Monetary Authorities-Central Bank,"111,690"
Monetary Authorities-Central Bank,"111,690"
Monetary Authorities-Central Bank,"58,740"
Monetary Authorities-Central Bank,"111,690"
Monetary Authorities-Central Bank,"111,690"
Credit Intermediation and Related Activities,"74,600"
Credit Intermediation and Related Activities,"87,030"
Credit Intermediation and Related Activities,"108,330"
Credit Intermediation and Related Activities,"121,160"
Credit Intermediation and Related Activities,"121,160"
Nondepository Credit Intermediation,"82,410"
Nondepository Credit Intermediation,"98,840"
Nondepository Credit Intermediation,"98,820"
Nondepository Credit Intermediation,"122,830"
Nondepository Credit Intermediation,"122,830"
Other Nondepository Credit Intermediation,"87,480"
Other Nondepository Credit Intermediation,"86,050"
Other Nondepository Credit Intermediation,"104,370"
Other Nondepository Credit Intermediation,"118,820"
Other Nondepository Credit Intermediation,"118,820"
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","107,440"
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","113,150"
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",*
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","133,730"
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","133,730"
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","107,440"
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","113,150"
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",*
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","133,730"
"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","133,730"
Insurance Carriers and Related Activities,"82,900"
Insurance Carriers and Related Activities,"87,540"
Insurance Carriers and Related Activities,"97,640"
Insurance Carriers and Related Activities,"109,880"
Insurance Carriers and Related Activities,"109,880"
Insurance Carriers and Related Activities,"73,740"
Insurance Carriers,"85,840"
Insurance Carriers,"89,500"
Insurance Carriers,"99,090"
Insurance Carriers,"111,130"
Insurance Carriers,"111,130"
Insurance Carriers,"74,020"
Direct Health and Medical Insurance Carriers,"76,590"
Direct Health and Medical Insurance Carriers,"84,430"
Direct Health and Medical Insurance Carriers,"101,390"
Direct Health and Medical Insurance Carriers,"95,110"
Direct Health and Medical Insurance Carriers,"95,110"
Direct Health and Medical Insurance Carriers,"67,900"
"Direct Insurance (except Life, Health, and Medical) Carriers","79,350"
"Direct Insurance (except Life, Health, and Medical) Carriers","95,570"
"Direct Insurance (except Life, Health, and Medical) Carriers","97,710"
"Direct Insurance (except Life, Health, and Medical) Carriers","115,890"
"Direct Insurance (except Life, Health, and Medical) Carriers","115,890"
"Agencies, Brokerages, and Other Insurance Related Activities","77,580"
"Agencies, Brokerages, and Other Insurance Related Activities","79,730"
"Agencies, Brokerages, and Other Insurance Related Activities","92,500"
"Agencies, Brokerages, and Other Insurance Related Activities","107,200"
"Agencies, Brokerages, and Other Insurance Related Activities","107,200"
Insurance Agencies and Brokerages,"78,850"
Insurance Agencies and Brokerages,"80,920"
Insurance Agencies and Brokerages,"85,990"
Insurance Agencies and Brokerages,"118,650"
Insurance Agencies and Brokerages,"118,650"
Other Insurance Related Activities,"76,170"
Other Insurance Related Activities,"77,970"
Other Insurance Related Activities,"95,140"
Other Insurance Related Activities,"98,020"
Other Insurance Related Activities,"98,020"
"Funds, Trusts, and Other Financial Vehicles","77,650"
"Funds, Trusts, and Other Financial Vehicles","85,680"
"Funds, Trusts, and Other Financial Vehicles","85,680"
Insurance and Employee Benefit Funds,"72,890"
Other Investment Pools and Funds,"88,140"
Real Estate,"87,080"
Real Estate,"99,340"
Real Estate,"99,340"
Real Estate,"87,080"
Real Estate,"99,340"
Real Estate,"99,340"
Rental and Leasing Services,"46,330"
Rental and Leasing Services,"104,070"
Rental and Leasing Services,"104,070"
